accepted	delta			Lprev	Lstar	alpha	time
2			2.887392e-01	-49.663450	-68.164685	0.000000	1.093533e+00
3			2.884615e-01	-45.217617	-45.217617	1.000000	1.105173e+00
3			2.881844e-01	-45.217617	-92.487291	0.000000	1.083950e+00
3			2.879079e-01	-45.217617	-67.436786	0.000000	1.093790e+00
3			2.876318e-01	-45.217617	-50.786946	0.003813	1.102960e+00
3			2.873563e-01	-45.217617	-67.874979	0.000000	1.094774e+00
3			2.870813e-01	-45.217617	-71.062789	0.000000	1.085490e+00
3			2.868069e-01	-45.217617	-54.320489	0.000111	1.092152e+00
3			2.865330e-01	-45.217617	-62.747953	0.000000	1.197351e+00
3			2.862595e-01	-45.217617	-64.322490	0.000000	1.102496e+00
3			2.859867e-01	-45.217617	-72.912115	0.000000	1.095014e+00
3			2.857143e-01	-45.217617	-45.619428	0.669108	1.292020e+00
3			2.854424e-01	-45.217617	-124.856074	0.000000	1.162726e+00
3			2.851711e-01	-45.217617	-61.004293	0.000000	1.100928e+00
3			2.849003e-01	-45.217617	-67.480525	0.000000	1.136418e+00
3			2.846300e-01	-45.217617	-59.178733	0.000001	1.109211e+00
3			2.843602e-01	-45.217617	-69.005015	0.000000	1.179840e+00
3			2.840909e-01	-45.217617	-74.351744	0.000000	1.094164e+00
3			2.838221e-01	-45.217617	-106.806246	0.000000	1.129827e+00
3			2.835539e-01	-45.217617	-76.095820	0.000000	1.099077e+00
3			2.832861e-01	-45.217617	-65.356592	0.000000	1.347861e+00
3			2.830189e-01	-45.217617	-79.539030	0.000000	1.237189e+00
3			2.827521e-01	-45.217617	-70.818204	0.000000	1.067822e+00
3			2.824859e-01	-45.217617	-61.698433	0.000000	1.261462e+00
3			2.822201e-01	-45.217617	-139.088984	0.000000	1.100384e+00
3			2.819549e-01	-45.217617	-96.641815	0.000000	1.068977e+00
3			2.816901e-01	-45.217617	-69.707129	0.000000	1.102359e+00
4			2.814259e-01	-40.696778	-40.696778	1.000000	1.100753e+00
4			2.811621e-01	-40.696778	-94.386090	0.000000	1.289763e+00
4			2.808989e-01	-40.696778	-74.364206	0.000000	1.095227e+00
4			2.806361e-01	-40.696778	-73.233381	0.000000	1.093658e+00
4			2.803738e-01	-40.696778	-74.698928	0.000000	1.357293e+00
4			2.801120e-01	-40.696778	-65.794386	0.000000	1.130362e+00
4			2.798507e-01	-40.696778	-63.967353	0.000000	1.169247e+00
4			2.795899e-01	-40.696778	-69.070574	0.000000	1.173374e+00
4			2.793296e-01	-40.696778	-47.092322	0.001669	1.147950e+00
4			2.790698e-01	-40.696778	-68.791560	0.000000	1.162231e+00
4			2.788104e-01	-40.696778	-56.990975	0.000000	1.159202e+00
4			2.785515e-01	-40.696778	-81.269025	0.000000	1.109293e+00
4			2.782931e-01	-40.696778	-106.497621	0.000000	1.080485e+00
4			2.780352e-01	-40.696778	-84.013812	0.000000	1.089532e+00
4			2.777778e-01	-40.696778	-80.502801	0.000000	1.074682e+00
4			2.775208e-01	-40.696778	-81.642379	0.000000	1.319066e+00
4			2.772643e-01	-40.696778	-58.667729	0.000000	1.181384e+00
4			2.770083e-01	-40.696778	-76.215503	0.000000	1.256467e+00
4			2.767528e-01	-40.696778	-87.464655	0.000000	1.092655e+00
4			2.764977e-01	-40.696778	-84.334499	0.000000	1.120804e+00
4			2.762431e-01	-40.696778	-72.865766	0.000000	1.127474e+00
4			2.759890e-01	-40.696778	-103.396130	0.000000	1.100485e+00
4			2.757353e-01	-40.696778	-67.830607	0.000000	1.200479e+00
4			2.754821e-01	-40.696778	-62.908646	0.000000	1.194679e+00
4			2.752294e-01	-40.696778	-54.357539	0.000001	1.094040e+00
4			2.749771e-01	-40.696778	-81.879052	0.000000	1.258690e+00
4			2.747253e-01	-40.696778	-67.868342	0.000000	1.121517e+00
4			2.744739e-01	-40.696778	-93.545828	0.000000	1.097720e+00
4			2.742230e-01	-40.696778	-67.105271	0.000000	1.264042e+00
4			2.739726e-01	-40.696778	-78.596527	0.000000	1.800311e+00
4			2.737226e-01	-40.696778	-71.365247	0.000000	1.661854e+00
4			2.734731e-01	-40.696778	-51.589824	0.000019	1.148768e+00
4			2.732240e-01	-40.696778	-82.051466	0.000000	1.666605e+00
4			2.729754e-01	-40.696778	-51.093650	0.000031	1.093392e+00
4			2.727273e-01	-40.696778	-61.003468	0.000000	1.427039e+00
4			2.724796e-01	-40.696778	-60.081829	0.000000	1.329479e+00
