accepted	Lprev	Lstar	alpha	minimum	time
86		-165.235541	-167.556146	0.098214	2.514190e-08	1.492021e+00
86		-165.235541	-165.894647	0.517313	2.480105e-08	1.543545e+00
86		-165.235541	-166.126819	0.410131	2.502640e-08	1.540598e+00
86		-165.235541	-167.396793	0.115181	2.504907e-08	1.485578e+00
87		-164.649868	-164.649868	1.000000	2.491681e-08	1.543255e+00
88		-159.062107	-159.062107	1.000000	2.489493e-08	1.498635e+00
89		-159.382955	-159.382955	0.725534	2.454062e-08	1.477233e+00
89		-159.382955	-163.452600	0.017083	2.449586e-08	1.549243e+00
89		-159.382955	-161.981538	0.074379	2.439060e-08	1.581363e+00
90		-158.340972	-158.340972	1.000000	2.421535e-08	1.568526e+00
90		-158.340972	-160.126441	0.167718	2.442857e-08	1.573885e+00
90		-158.340972	-160.563269	0.108360	2.448528e-08	1.489214e+00
91		-159.238840	-159.238840	0.407437	2.391298e-08	1.490107e+00
92		-158.680990	-158.680990	1.000000	2.431574e-08	1.528662e+00
93		-158.139644	-158.139644	1.000000	2.419396e-08	1.516740e+00
93		-158.139644	-161.355009	0.040141	2.445004e-08	1.535685e+00
94		-157.906722	-157.906722	1.000000	2.402879e-08	1.488888e+00
95		-152.911783	-152.911783	1.000000	2.395952e-08	1.499734e+00
96		-153.539422	-153.539422	0.533851	2.413546e-08	1.483819e+00
97		-154.012363	-154.012363	0.623166	2.395227e-08	1.540460e+00
97		-154.012363	-156.878430	0.056922	2.384700e-08	1.498930e+00
97		-154.012363	-155.755789	0.174920	2.433782e-08	1.481561e+00
97		-154.012363	-156.209966	0.111069	2.375815e-08	1.501706e+00
97		-154.012363	-156.670346	0.070089	2.390111e-08	1.490134e+00
97		-154.012363	-158.691692	0.009285	2.443550e-08	1.496865e+00
98		-153.892049	-153.892049	1.000000	2.406758e-08	1.560838e+00
99		-152.633580	-152.633580	1.000000	2.402376e-08	1.531311e+00
100		-151.741603	-151.741603	1.000000	2.387954e-08	1.492380e+00
101		-149.466121	-149.466121	1.000000	2.387843e-08	1.541818e+00
101		-149.466121	-151.413892	0.142592	2.374138e-08	1.668366e+00
102		-147.241936	-147.241936	1.000000	2.349963e-08	1.514204e+00
102		-147.241936	-150.178178	0.053065	2.347320e-08	1.517533e+00
103		-145.853380	-145.853380	1.000000	2.376657e-08	1.562637e+00
104		-144.014258	-144.014258	1.000000	2.377209e-08	1.529172e+00
105		-141.655937	-141.655937	1.000000	2.373805e-08	1.508643e+00
106		-141.134468	-141.134468	1.000000	2.414092e-08	1.495663e+00
107		-140.116834	-140.116834	1.000000	2.403615e-08	1.528560e+00
108		-138.303467	-138.303467	1.000000	2.392720e-08	1.497639e+00
109		-139.448185	-139.448185	0.318313	2.372812e-08	1.489298e+00
110		-137.652697	-137.652697	1.000000	2.374246e-08	1.494130e+00
111		-135.420150	-135.420150	1.000000	2.320013e-08	1.490095e+00
112		-136.557426	-136.557426	0.320691	2.347541e-08	1.536395e+00
112		-136.557426	-138.240870	0.185733	2.354952e-08	1.492416e+00
112		-136.557426	-139.401213	0.058205	2.397555e-08	1.493246e+00
112		-136.557426	-138.687231	0.118860	2.350303e-08	1.497741e+00
112		-136.557426	-138.720930	0.114922	2.337747e-08	1.541579e+00
113		-137.420675	-137.420675	0.421790	2.326086e-08	1.541543e+00
114		-137.593806	-137.593806	0.841027	2.334021e-08	1.493012e+00
114		-137.593806	-139.987566	0.091286	2.359325e-08	1.541757e+00
115		-139.240939	-139.240939	0.192601	2.308534e-08	1.589819e+00
116		-140.659478	-140.659478	0.242067	2.277325e-08	1.519758e+00
117		-140.852586	-140.852586	0.824393	2.302134e-08	1.510793e+00
117		-140.852586	-143.382537	0.079663	2.342751e-08	1.521055e+00
117		-140.852586	-143.362058	0.081311	2.313755e-08	1.501498e+00
117		-140.852586	-143.251980	0.090773	2.296420e-08	1.540861e+00
118		-141.626232	-141.626232	0.461328	2.296629e-08	1.496064e+00
119		-140.539053	-140.539053	1.000000	2.348139e-08	1.524221e+00
120		-141.176977	-141.176977	0.528388	2.376840e-08	1.551904e+00
121		-142.417680	-142.417680	0.289181	2.356213e-08	1.541552e+00
121		-142.417680	-144.361297	0.143185	2.344005e-08	1.540085e+00
121		-142.417680	-145.412141	0.050064	2.375701e-08	1.521302e+00
121		-142.417680	-143.741659	0.266074	2.349301e-08	1.513737e+00
121		-142.417680	-143.679240	0.283212	2.383941e-08	1.577085e+00
122		-141.441075	-141.441075	1.000000	2.358397e-08	1.519055e+00
123		-140.745355	-140.745355	1.000000	2.367030e-08	1.517376e+00
124		-140.951413	-140.951413	0.813786	2.336057e-08	1.495947e+00
125		-138.937226	-138.937226	1.000000	2.321583e-08	1.549095e+00
126		-137.298146	-137.298146	1.000000	2.291383e-08	1.554365e+00
126		-137.298146	-137.528249	0.794452	2.312188e-08	1.520702e+00
126		-137.298146	-138.521686	0.294187	2.320281e-08	1.593475e+00
126		-137.298146	-139.534921	0.106802	2.279523e-08	1.481038e+00
127		-138.703646	-138.703646	0.245245	2.287709e-08	1.499379e+00
128		-137.029370	-137.029370	1.000000	2.278071e-08	1.537306e+00
129		-134.373144	-134.373144	1.000000	2.248046e-08	1.496259e+00
129		-134.373144	-136.376366	0.134900	2.273438e-08	1.528756e+00
129		-134.373144	-136.173019	0.165320	2.294196e-08	1.517641e+00
129		-134.373144	-135.901327	0.216929	2.256299e-08	1.549394e+00
129		-134.373144	-137.474010	0.045010	2.269063e-08	1.502787e+00
129		-134.373144	-135.861179	0.225816	2.228119e-08	1.529752e+00
129		-134.373144	-136.820593	0.086514	2.277903e-08	1.497335e+00
129		-134.373144	-136.335159	0.140575	2.244917e-08	1.524378e+00
129		-134.373144	-136.830219	0.085685	2.270377e-08	1.531049e+00
130		-135.221564	-135.221564	0.428091	2.252978e-08	1.489705e+00
131		-134.711340	-134.711340	1.000000	2.267448e-08	1.488700e+00
131		-134.711340	-135.565568	0.425612	2.277685e-08	1.521410e+00
131		-134.711340	-137.389761	0.068672	2.255231e-08	1.512735e+00
132		-135.298215	-135.298215	0.556062	2.263586e-08	1.493414e+00
133		-133.781943	-133.781943	1.000000	2.266954e-08	1.508730e+00
134		-131.196814	-131.196814	1.000000	2.243320e-08	1.576231e+00
134		-131.196814	-133.387133	0.111881	2.228909e-08	1.520154e+00
134		-131.196814	-134.576055	0.034073	2.236466e-08	1.520378e+00
134		-131.196814	-133.479883	0.101971	2.221294e-08	1.494016e+00
135		-129.560930	-129.560930	1.000000	2.241092e-08	1.537156e+00
135		-129.560930	-132.900961	0.035436	2.235759e-08	1.544226e+00
135		-129.560930	-130.909538	0.259602	2.224936e-08	1.555850e+00
135		-129.560930	-132.616741	0.047085	2.232206e-08	1.531753e+00
136		-130.263638	-130.263638	0.495242	2.222754e-08	1.488824e+00
137		-128.648206	-128.648206	1.000000	2.199156e-08	1.544561e+00
138		-130.224489	-130.224489	0.206742	2.187874e-08	1.489263e+00
139		-129.800274	-129.800274	1.000000	2.219400e-08	1.544533e+00
140		-130.165076	-130.165076	0.694334	2.243602e-08	1.499511e+00
140		-130.165076	-131.217554	0.349072	2.243573e-08	1.540554e+00
140		-130.165076	-133.537375	0.034311	2.234428e-08	1.550619e+00
141		-128.873539	-128.873539	1.000000	2.219095e-08	1.536187e+00
142		-128.930527	-128.930527	0.944605	2.226165e-08	1.541439e+00
143		-127.715280	-127.715280	1.000000	2.219028e-08	1.568243e+00
143		-127.715280	-130.708093	0.050146	2.227514e-08	1.548368e+00
144		-126.253590	-126.253590	1.000000	2.241722e-08	1.545976e+00
145		-126.400265	-126.400265	0.863574	2.250408e-08	1.608612e+00
146		-126.907476	-126.907476	0.602173	2.243126e-08	1.508955e+00
147		-127.953247	-127.953247	0.351421	2.240172e-08	1.496780e+00
148		-128.214490	-128.214490	0.770094	2.213845e-08	1.544533e+00
149		-128.360084	-128.360084	0.864509	2.246278e-08	1.540593e+00
150		-128.126172	-128.126172	1.000000	2.264081e-08	1.541284e+00
151		-127.392248	-127.392248	1.000000	2.255593e-08	1.568656e+00
151		-127.392248	-129.363573	0.139272	2.296970e-08	1.520254e+00
151		-127.392248	-129.446727	0.128160	2.289622e-08	1.517524e+00
152		-129.494747	-129.494747	0.122151	2.246736e-08	1.495929e+00
153		-125.026726	-125.026726	1.000000	2.267471e-08	1.581435e+00
153		-125.026726	-125.715562	0.502160	2.258858e-08	1.549125e+00
153		-125.026726	-126.634433	0.200346	2.254111e-08	1.540828e+00
153		-125.026726	-125.521447	0.609741	2.241744e-08	1.520730e+00
154		-125.769624	-125.769624	0.475733	2.261641e-08	1.502540e+00
155		-126.087630	-126.087630	0.727598	2.244498e-08	1.490039e+00
155		-126.087630	-126.792510	0.494168	2.253730e-08	1.540569e+00
155		-126.087630	-128.446625	0.094515	2.267563e-08	1.494167e+00
156		-125.496883	-125.496883	1.000000	2.220093e-08	1.529222e+00
156		-125.496883	-127.810949	0.098859	2.191786e-08	1.577805e+00
156		-125.496883	-126.367885	0.418532	2.232034e-08	1.530158e+00
157		-125.819151	-125.819151	0.724504	2.189372e-08	1.528647e+00
158		-126.182965	-126.182965	0.695020	2.165009e-08	1.541266e+00
158		-126.182965	-127.675109	0.224890	2.165644e-08	1.560596e+00
158		-126.182965	-127.107513	0.396711	2.157481e-08	1.523120e+00
158		-126.182965	-128.933508	0.063893	2.147447e-08	1.541489e+00
159		-126.066960	-126.066960	1.000000	2.158197e-08	1.529398e+00
159		-126.066960	-127.992515	0.145795	2.156402e-08	1.496698e+00
159		-126.066960	-127.639222	0.207575	2.179118e-08	1.490681e+00
159		-126.066960	-128.210034	0.117294	2.137731e-08	1.490106e+00
159		-126.066960	-127.832427	0.171107	2.187736e-08	1.489956e+00
159		-126.066960	-129.371852	0.036703	2.171384e-08	1.540415e+00
159		-126.066960	-127.248781	0.306720	2.150612e-08	1.503924e+00
160		-125.872413	-125.872413	1.000000	2.138145e-08	1.525691e+00
161		-125.867952	-125.867952	1.000000	2.151499e-08	1.552436e+00
162		-125.687054	-125.687054	1.000000	2.177957e-08	1.540871e+00
163		-126.797160	-126.797160	0.329524	2.190235e-08	1.532872e+00
163		-126.797160	-128.705171	0.148375	2.185011e-08	1.528374e+00
163		-126.797160	-130.096081	0.036923	2.229677e-08	1.521576e+00
164		-125.634346	-125.634346	1.000000	2.173183e-08	1.608767e+00
165		-123.867678	-123.867678	1.000000	2.147846e-08	1.521587e+00
166		-124.441080	-124.441080	0.563605	2.148315e-08	1.572397e+00
167		-122.729311	-122.729311	1.000000	2.174141e-08	1.540874e+00
167		-122.729311	-124.698408	0.139583	2.161837e-08	1.539764e+00
167		-122.729311	-123.989194	0.283687	2.161413e-08	1.542466e+00
167		-122.729311	-126.125526	0.033500	2.142646e-08	1.521228e+00
168		-124.245018	-124.245018	0.219653	2.190909e-08	1.483583e+00
168		-124.245018	-125.523200	0.278543	2.188605e-08	1.489070e+00
169		-123.863558	-123.863558	1.000000	2.202072e-08	1.548181e+00
170		-123.002152	-123.002152	1.000000	2.190138e-08	1.539804e+00
171		-122.621947	-122.621947	1.000000	2.203708e-08	1.515267e+00
172		-125.693403	-125.693403	0.046354	2.206264e-08	1.521262e+00
172		-125.693403	-132.238740	0.001437	2.210991e-08	1.569003e+00
172		-125.693403	-129.688152	0.018412	2.198277e-08	1.512115e+00
173		-126.798321	-126.798321	0.331238	2.206322e-08	1.533194e+00
174		-124.689515	-124.689515	1.000000	2.196751e-08	1.541792e+00
175		-125.199936	-125.199936	0.600242	2.184811e-08	1.568212e+00
176		-124.084374	-124.084374	1.000000	2.187275e-08	1.501421e+00
177		-122.629787	-122.629787	1.000000	2.192006e-08	1.656029e+00
177		-122.629787	-126.475570	0.021370	2.210460e-08	1.526658e+00
177		-122.629787	-127.490081	0.007748	2.197105e-08	1.509046e+00
178		-123.975559	-123.975559	0.260339	2.188986e-08	1.520756e+00
179		-123.666923	-123.666923	1.000000	2.178027e-08	1.541990e+00
179		-123.666923	-125.871758	0.110269	2.175281e-08	1.541010e+00
179		-123.666923	-126.529054	0.057147	2.213496e-08	1.493443e+00
179		-123.666923	-126.804698	0.043379	2.207358e-08	1.521026e+00
179		-123.666923	-127.234580	0.028222	2.160302e-08	1.502549e+00
180		-121.983441	-121.983441	1.000000	2.158596e-08	1.541067e+00
181		-121.558812	-121.558812	1.000000	2.144191e-08	1.540731e+00
181		-121.558812	-122.347168	0.454591	2.135589e-08	1.489371e+00
181		-121.558812	-122.472555	0.401020	2.133790e-08	1.489514e+00
181		-121.558812	-123.224802	0.189003	2.164341e-08	1.493732e+00
181		-121.558812	-124.932785	0.034253	2.145998e-08	1.541203e+00
182		-118.932610	-118.932610	1.000000	2.137852e-08	1.489635e+00
183		-118.853015	-118.853015	1.000000	2.175303e-08	1.491687e+00
184		-118.243002	-118.243002	1.000000	2.157571e-08	1.563588e+00
184		-118.243002	-123.020938	0.008413	2.140652e-08	1.510233e+00
185		-119.384390	-119.384390	0.319376	2.163798e-08	1.499041e+00
186		-117.884916	-117.884916	1.000000	2.217159e-08	1.592530e+00
187		-117.848755	-117.848755	1.000000	2.185789e-08	1.561145e+00
188		-117.847298	-117.847298	1.000000	2.175165e-08	1.524357e+00
188		-117.847298	-119.834614	0.137063	2.199314e-08	1.541298e+00
189		-118.632370	-118.632370	0.456087	2.202627e-08	1.557367e+00
190		-117.965778	-117.965778	1.000000	2.196938e-08	1.531981e+00
190		-117.965778	-120.671024	0.066854	2.219933e-08	1.491866e+00
190		-117.965778	-120.023882	0.127696	2.177398e-08	1.543662e+00
190		-117.965778	-121.341318	0.034200	2.235110e-08	1.494210e+00
190		-117.965778	-120.598554	0.071879	2.210048e-08	1.541559e+00
191		-117.952456	-117.952456	1.000000	2.176102e-08	1.557013e+00
