accepted	Lprev	Lstar	alpha	time
32		-86.159304	-86.159304	0.318078	2.898476e+00
33		-84.784205	-84.784205	1.000000	1.928494e+00
34		-84.554969	-84.554969	1.000000	1.600015e+00
35		-83.609665	-83.609665	1.000000	2.228002e+00
36		-83.577580	-83.577580	1.000000	2.138030e+00
37		-83.515466	-83.515466	1.000000	1.098007e+00
37		-83.515466	-85.409423	0.150475	2.001046e+00
38		-83.076079	-83.076079	1.000000	1.758405e+00
39		-83.074323	-83.074323	1.000000	1.137289e+00
40		-82.307934	-82.307934	1.000000	1.770291e+00
41		-81.448060	-81.448060	1.000000	1.554922e+00
42		-82.556501	-82.556501	0.330073	1.077881e+00
43		-82.101415	-82.101415	1.000000	1.138025e+00
44		-82.290157	-82.290157	0.828000	1.540168e+00
44		-82.290157	-85.025039	0.064902	1.173806e+00
45		-82.905704	-82.905704	0.540345	1.088938e+00
45		-82.905704	-85.401861	0.082401	1.166289e+00
46		-82.382972	-82.382972	1.000000	1.099475e+00
47		-81.929525	-81.929525	1.000000	1.270796e+00
48		-80.190243	-80.190243	1.000000	1.520527e+00
49		-79.721333	-79.721333	1.000000	2.469091e+00
49		-79.721333	-82.279924	0.077414	2.490569e+00
49		-79.721333	-81.938011	0.108970	2.030318e+00
49		-79.721333	-80.825594	0.331456	1.410390e+00
50		-78.627939	-78.627939	1.000000	5.089382e+00
51		-78.262442	-78.262442	1.000000	2.197665e+00
52		-77.941697	-77.941697	1.000000	2.738563e+00
53		-76.116328	-76.116328	1.000000	1.358635e+00
54		-76.936205	-76.936205	0.440486	1.728502e+00
55		-76.350826	-76.350826	1.000000	1.524216e+00
56		-75.845840	-75.845840	1.000000	1.102497e+00
57		-74.891282	-74.891282	1.000000	1.258089e+00
58		-74.563308	-74.563308	1.000000	1.797960e+00
59		-74.264246	-74.264246	1.000000	1.970126e+00
59		-74.264246	-74.766405	0.605223	1.466486e+00
59		-74.264246	-74.565115	0.740175	3.153122e+00
60		-71.728487	-71.728487	1.000000	3.506508e+00
61		-71.291254	-71.291254	1.000000	1.101018e+00
62		-69.386590	-69.386590	1.000000	1.434901e+00
62		-69.386590	-70.351601	0.380979	1.301673e+00
62		-69.386590	-70.247291	0.422865	1.098191e+00
63		-68.454022	-68.454022	1.000000	1.631230e+00
64		-67.981571	-67.981571	1.000000	1.165702e+00
65		-68.533962	-68.533962	0.575572	1.999190e+00
66		-67.095259	-67.095259	1.000000	1.329765e+00
66		-67.095259	-68.421322	0.265521	2.267683e+00
67		-67.832200	-67.832200	0.478576	1.399468e+00
68		-66.882271	-66.882271	1.000000	1.529683e+00
69		-66.583109	-66.583109	1.000000	1.567283e+00
70		-65.544996	-65.544996	1.000000	1.298393e+00
71		-64.363360	-64.363360	1.000000	1.232088e+00
72		-63.412961	-63.412961	1.000000	1.540121e+00
72		-63.412961	-64.115283	0.495433	1.756118e+00
73		-62.954610	-62.954610	1.000000	3.129413e+00
74		-62.204853	-62.204853	1.000000	1.794698e+00
74		-62.204853	-62.830730	0.534792	2.336952e+00
75		-62.086549	-62.086549	1.000000	2.600094e+00
76		-62.265627	-62.265627	0.836041	3.131183e+00
77		-64.136494	-64.136494	0.153990	1.665121e+00
78		-64.385675	-64.385675	0.779439	2.032506e+00
79		-64.515968	-64.515968	0.877838	1.527474e+00
80		-64.308179	-64.308179	1.000000	1.069851e+00
81		-64.507546	-64.507546	0.819249	2.097557e+00
82		-65.499333	-65.499333	0.370913	1.666798e+00
82		-65.499333	-66.735181	0.290588	1.075558e+00
83		-66.849869	-66.849869	0.259101	1.065275e+00
84		-65.594146	-65.594146	1.000000	1.116435e+00
85		-65.566555	-65.566555	1.000000	1.399323e+00
86		-65.078203	-65.078203	1.000000	1.269431e+00
86		-65.078203	-66.572106	0.224495	1.978816e+00
87		-64.777419	-64.777419	1.000000	2.650167e+00
87		-64.777419	-65.727191	0.386829	1.136554e+00
88		-63.550730	-63.550730	1.000000	1.627075e+00
88		-63.550730	-64.490527	0.390707	2.898920e+00
88		-63.550730	-64.031701	0.618183	1.767432e+00
89		-63.675535	-63.675535	0.882669	3.799012e+00
89		-63.675535	-65.725334	0.128761	1.297568e+00
90		-62.743769	-62.743769	1.000000	2.285168e+00
90		-62.743769	-63.877963	0.321681	1.964474e+00
91		-61.644632	-61.644632	1.000000	1.380143e+00
92		-62.234690	-62.234690	0.554295	1.329731e+00
92		-62.234690	-62.911459	0.508256	1.536978e+00
93		-63.265805	-63.265805	0.356609	1.091112e+00
93		-63.265805	-64.584368	0.267519	1.331777e+00
94		-62.194020	-62.194020	1.000000	1.133446e+00
95		-60.405505	-60.405505	1.000000	1.131105e+00
96		-61.278369	-61.278369	0.417753	1.901323e+00
97		-61.613316	-61.613316	0.715376	1.496487e+00
98		-60.992044	-60.992044	1.000000	1.630386e+00
98		-60.992044	-62.996609	0.134719	2.129557e+00
99		-60.341723	-60.341723	1.000000	2.537356e+00
100		-59.509558	-59.509558	1.000000	1.308789e+00
101		-58.740552	-58.740552	1.000000	1.161259e+00
102		-58.814205	-58.814205	0.928994	1.691675e+00
103		-58.210563	-58.210563	1.000000	1.206087e+00
103		-58.210563	-58.543198	0.717032	1.257175e+00
104		-57.961077	-57.961077	1.000000	1.828729e+00
105		-57.736657	-57.736657	1.000000	3.637293e+00
106		-58.204894	-58.204894	0.626105	2.129156e+00
107		-58.032798	-58.032798	1.000000	1.329523e+00
108		-57.655104	-57.655104	1.000000	1.435986e+00
109		-56.872892	-56.872892	1.000000	1.165694e+00
109		-56.872892	-57.503258	0.532397	1.362945e+00
109		-56.872892	-57.223673	0.704138	1.568075e+00
109		-56.872892	-57.096204	0.799865	2.861025e+00
110		-57.487027	-57.487027	0.541109	3.098897e+00
111		-56.945130	-56.945130	1.000000	1.481998e+00
112		-57.359770	-57.359770	0.660578	2.048265e+00
112		-57.359770	-57.969436	0.543533	1.189977e+00
113		-56.814805	-56.814805	1.000000	2.799262e+00
113		-56.814805	-57.273836	0.631896	1.297862e+00
114		-57.417998	-57.417998	0.547062	1.331767e+00
115		-57.016132	-57.016132	1.000000	1.328553e+00
116		-57.091942	-57.091942	0.926992	1.499056e+00
117		-55.922924	-55.922924	1.000000	1.068575e+00
117		-55.922924	-59.971235	0.017452	1.468597e+00
118		-54.920074	-54.920074	1.000000	1.729344e+00
119		-54.904114	-54.904114	1.000000	1.167032e+00
120		-54.411060	-54.411060	1.000000	1.232855e+00
121		-53.970691	-53.970691	1.000000	1.521085e+00
122		-53.373820	-53.373820	1.000000	1.734426e+00
122		-53.373820	-54.236032	0.422227	1.301297e+00
123		-53.896285	-53.896285	0.593057	1.199124e+00
124		-53.146025	-53.146025	1.000000	1.080087e+00
125		-52.762297	-52.762297	1.000000	2.102192e+00
126		-51.794495	-51.794495	1.000000	1.229158e+00
127		-52.690865	-52.690865	0.408048	2.099662e+00
128		-52.929285	-52.929285	0.787872	1.766511e+00
129		-53.070204	-53.070204	0.868559	1.961113e+00
130		-51.750756	-51.750756	1.000000	1.336693e+00
131		-52.252094	-52.252094	0.605719	2.132084e+00
132		-52.210099	-52.210099	1.000000	1.665310e+00
133		-51.447386	-51.447386	1.000000	1.558895e+00
134		-51.741903	-51.741903	0.744891	1.100479e+00
134		-51.741903	-52.618348	0.416260	1.335995e+00
134		-51.741903	-52.160242	0.658139	1.270871e+00
134		-51.741903	-52.271486	0.588850	1.127035e+00
135		-51.453910	-51.453910	1.000000	1.399345e+00
136		-50.672776	-50.672776	1.000000	1.331497e+00
137		-50.719113	-50.719113	0.954720	1.066613e+00
138		-49.829466	-49.829466	1.000000	1.669672e+00
138		-49.829466	-50.423891	0.551880	1.199343e+00
139		-50.562709	-50.562709	0.480348	1.927259e+00
140		-50.787604	-50.787604	0.798600	4.771537e+00
140		-50.787604	-50.940254	0.858430	1.196231e+00
140		-50.787604	-52.175468	0.249608	1.128293e+00
141		-51.291727	-51.291727	0.604035	1.899191e+00
141		-51.291727	-52.343126	0.349448	1.262514e+00
142		-50.746284	-50.746284	1.000000	1.467346e+00
143		-49.489514	-49.489514	1.000000	1.067399e+00
144		-48.506872	-48.506872	1.000000	1.097891e+00
145		-48.040863	-48.040863	1.000000	1.398724e+00
146		-47.345278	-47.345278	1.000000	1.900583e+00
146		-47.345278	-48.459948	0.328024	2.397351e+00
147		-47.947411	-47.947411	0.547643	1.300476e+00
148		-47.208959	-47.208959	1.000000	1.057964e+00
149		-46.222175	-46.222175	1.000000	1.170995e+00
150		-46.218869	-46.218869	1.000000	1.526404e+00
151		-46.019728	-46.019728	1.000000	1.071045e+00
152		-45.975188	-45.975188	1.000000	1.350540e+00
153		-46.535132	-46.535132	0.571241	1.200088e+00
153		-46.535132	-46.786726	0.777560	1.359600e+00
154		-46.395256	-46.395256	1.000000	1.369844e+00
155		-46.685286	-46.685286	0.748241	4.029026e+00
156		-46.698272	-46.698272	0.987098	1.536753e+00
157		-47.316268	-47.316268	0.539023	1.130209e+00
158		-46.893129	-46.893129	1.000000	2.299920e+00
159		-47.356810	-47.356810	0.628965	1.065967e+00
160		-47.057307	-47.057307	1.000000	1.159479e+00
161		-46.151446	-46.151446	1.000000	1.170541e+00
162		-46.864788	-46.864788	0.490003	1.726678e+00
163		-45.553846	-45.553846	1.000000	1.900266e+00
164		-44.777459	-44.777459	1.000000	2.597719e+00
165		-44.321690	-44.321690	1.000000	1.249101e+00
166		-43.997792	-43.997792	1.000000	1.118094e+00
166		-43.997792	-44.769703	0.462129	1.330831e+00
166		-43.997792	-44.685356	0.502799	1.997224e+00
167		-44.147573	-44.147573	0.860896	1.102789e+00
168		-43.602869	-43.602869	1.000000	1.363947e+00
169		-43.060888	-43.060888	1.000000	2.898654e+00
169		-43.060888	-44.568179	0.221509	1.528354e+00
170		-43.344545	-43.344545	0.753025	2.537260e+00
171		-42.810024	-42.810024	1.000000	1.999144e+00
172		-42.729789	-42.729789	1.000000	3.023730e+00
173		-42.864752	-42.864752	0.873748	1.126925e+00
173		-42.864752	-43.367459	0.604891	1.211567e+00
174		-42.711487	-42.711487	1.000000	1.688597e+00
175		-42.106366	-42.106366	1.000000	1.835566e+00
176		-41.905880	-41.905880	1.000000	1.430315e+00
177		-42.478581	-42.478581	0.564000	4.629618e+00
178		-42.883220	-42.883220	0.667218	1.467871e+00
179		-42.516449	-42.516449	1.000000	1.266854e+00
180		-41.880433	-41.880433	1.000000	1.130472e+00
180		-41.880433	-42.200911	0.725802	1.400475e+00
181		-42.172611	-42.172611	0.746636	1.208815e+00
182		-41.956211	-41.956211	1.000000	1.321735e+00
183		-42.723567	-42.723567	0.464239	2.065173e+00
184		-42.374401	-42.374401	1.000000	3.497105e+00
185		-42.186124	-42.186124	1.000000	2.569593e+00
186		-42.229765	-42.229765	0.957297	1.899042e+00
187		-42.868461	-42.868461	0.527981	1.579975e+00
188		-43.734712	-43.734712	0.420525	1.280561e+00
189		-44.594816	-44.594816	0.423118	1.361614e+00
190		-44.751051	-44.751051	0.855358	2.267904e+00
190		-44.751051	-50.060820	0.004943	1.259465e+00
191		-44.429756	-44.429756	1.000000	1.238772e+00
191		-44.429756	-46.398019	0.139699	1.918117e+00
192		-44.121486	-44.121486	1.000000	2.042981e+00
192		-44.121486	-45.365527	0.288217	1.135219e+00
193		-43.685353	-43.685353	1.000000	1.560874e+00
193		-43.685353	-44.607705	0.397583	1.197574e+00
194		-44.420883	-44.420883	0.479252	1.069870e+00
195		-44.036182	-44.036182	1.000000	1.668471e+00
196		-43.364768	-43.364768	1.000000	1.459469e+00
197		-43.171894	-43.171894	1.000000	1.337856e+00
198		-43.758008	-43.758008	0.556486	1.728106e+00
199		-43.460785	-43.460785	1.000000	2.300312e+00
199		-43.460785	-43.700419	0.786916	1.326552e+00
200		-42.837344	-42.837344	1.000000	1.399353e+00
201		-43.130891	-43.130891	0.745614	1.098335e+00
202		-43.007002	-43.007002	1.000000	1.097411e+00
203		-42.632757	-42.632757	1.000000	1.440142e+00
204		-43.345470	-43.345470	0.490313	2.429257e+00
204		-43.345470	-43.801601	0.633731	1.668433e+00
205		-44.717270	-44.717270	0.253650	1.064301e+00
206		-45.303325	-45.303325	0.556519	1.085803e+00
207		-45.685519	-45.685519	0.682363	1.332298e+00
208		-44.980257	-44.980257	1.000000	1.134130e+00
209		-45.674755	-45.674755	0.499325	1.100640e+00
210		-45.726987	-45.726987	0.949109	2.165926e+00
211		-44.396379	-44.396379	1.000000	1.261059e+00
212		-44.038749	-44.038749	1.000000	1.335865e+00
213		-43.078487	-43.078487	1.000000	1.330455e+00
214		-43.498642	-43.498642	0.656945	1.067384e+00
215		-43.369117	-43.369117	1.000000	1.496567e+00
216		-43.256792	-43.256792	1.000000	3.267040e+00
216		-43.256792	-44.071260	0.442875	1.187086e+00
217		-44.001823	-44.001823	0.474720	2.371604e+00
218		-43.373376	-43.373376	1.000000	1.420433e+00
218		-43.373376	-44.624062	0.286308	1.166112e+00
219		-45.045584	-45.045584	0.187832	2.165413e+00
220		-44.522201	-44.522201	1.000000	1.297630e+00
221		-43.927671	-43.927671	1.000000	2.059940e+00
222		-44.891611	-44.891611	0.381387	1.068716e+00
222		-44.891611	-45.567204	0.508855	1.792448e+00
222		-44.891611	-45.944304	0.348997	1.198246e+00
223		-45.601996	-45.601996	0.491455	1.074684e+00
224		-45.077321	-45.077321	1.000000	1.453643e+00
224		-45.077321	-46.086325	0.364582	1.328590e+00
225		-44.980111	-44.980111	1.000000	1.139496e+00
226		-45.309662	-45.309662	0.719247	1.129425e+00
226		-45.309662	-46.872872	0.209463	1.127928e+00
227		-45.683648	-45.683648	0.687987	1.638756e+00
228		-45.141752	-45.141752	1.000000	1.498100e+00
229		-44.629404	-44.629404	1.000000	1.258545e+00
230		-44.509347	-44.509347	1.000000	1.071231e+00
231		-44.101051	-44.101051	1.000000	1.225823e+00
232		-43.699117	-43.699117	1.000000	1.437162e+00
233		-44.111439	-44.111439	0.662111	1.598908e+00
234		-44.004578	-44.004578	1.000000	1.162077e+00
234		-44.004578	-44.462820	0.632394	1.606035e+00
235		-44.491058	-44.491058	0.614787	2.189951e+00
236		-43.417130	-43.417130	1.000000	1.110830e+00
237		-43.313247	-43.313247	1.000000	1.224825e+00
238		-43.720003	-43.720003	0.665807	1.098949e+00
238		-43.720003	-44.603190	0.413463	1.059604e+00
239		-44.432199	-44.432199	0.490566	1.269755e+00
240		-45.509443	-45.509443	0.340533	1.238558e+00
241		-46.964367	-46.964367	0.233418	1.112494e+00
241		-46.964367	-47.872647	0.403217	1.076561e+00
242		-46.910849	-46.910849	1.000000	1.100178e+00
243		-45.771872	-45.771872	1.000000	1.361472e+00
244		-45.753274	-45.753274	1.000000	1.096637e+00
245		-45.718107	-45.718107	1.000000	1.073161e+00
246		-46.070981	-46.070981	0.702666	1.286113e+00
247		-45.558116	-45.558116	1.000000	1.060826e+00
248		-45.480247	-45.480247	1.000000	1.468600e+00
249		-45.250659	-45.250659	1.000000	2.331786e+00
250		-45.786218	-45.786218	0.585342	1.088227e+00
251		-44.847907	-44.847907	1.000000	1.095096e+00
251		-44.847907	-45.165038	0.728236	1.199335e+00
252		-44.268256	-44.268256	1.000000	2.329286e+00
253		-43.847197	-43.847197	1.000000	1.867485e+00
254		-43.131004	-43.131004	1.000000	1.567692e+00
255		-43.099219	-43.099219	1.000000	1.358929e+00
256		-43.277270	-43.277270	0.836900	1.069901e+00
257		-44.100796	-44.100796	0.438882	1.596535e+00
258		-43.284245	-43.284245	1.000000	1.902106e+00
259		-43.109488	-43.109488	1.000000	1.464938e+00
260		-42.814699	-42.814699	1.000000	1.096576e+00
260		-42.814699	-43.550022	0.479350	1.200241e+00
260		-42.814699	-43.707397	0.409549	1.150772e+00
261		-41.952927	-41.952927	1.000000	1.201122e+00
262		-41.573966	-41.573966	1.000000	1.634379e+00
263		-42.506397	-42.506397	0.393596	1.153551e+00
263		-42.506397	-47.498502	0.006791	1.430195e+00
264		-40.907969	-40.907969	1.000000	1.330938e+00
265		-40.477613	-40.477613	1.000000	2.469917e+00
266		-41.026360	-41.026360	0.577673	1.188783e+00
266		-41.026360	-42.114097	0.336978	2.261856e+00
266		-41.026360	-41.958418	0.393743	1.270431e+00
266		-41.026360	-42.514627	0.225764	1.621910e+00
267		-40.352710	-40.352710	1.000000	2.036436e+00
268		-40.286734	-40.286734	1.000000	1.135331e+00
269		-41.301504	-41.301504	0.362486	1.201431e+00
270		-42.240037	-42.240037	0.391201	2.055515e+00
271		-41.833440	-41.833440	1.000000	1.200915e+00
272		-41.975505	-41.975505	0.867565	1.096246e+00
272		-41.975505	-43.373124	0.247185	1.210113e+00
272		-41.975505	-42.792515	0.441750	1.250231e+00
273		-42.521903	-42.521903	0.579032	1.898985e+00
274		-42.179871	-42.179871	1.000000	2.067841e+00
275		-42.305098	-42.305098	0.882296	1.167611e+00
276		-42.261887	-42.261887	1.000000	1.330268e+00
277		-43.414180	-43.414180	0.315911	1.091474e+00
278		-43.391163	-43.391163	1.000000	1.098526e+00
279		-43.321964	-43.321964	1.000000	1.399129e+00
280		-42.973393	-42.973393	1.000000	1.728563e+00
281		-42.875892	-42.875892	1.000000	1.168125e+00
282		-40.785878	-40.785878	1.000000	2.232059e+00
283		-40.757098	-40.757098	1.000000	1.989634e+00
284		-39.731857	-39.731857	1.000000	1.067351e+00
285		-40.222459	-40.222459	0.612258	1.329367e+00
285		-40.222459	-40.791702	0.565954	1.467927e+00
286		-40.493279	-40.493279	0.762754	1.367287e+00
287		-39.535351	-39.535351	1.000000	1.462757e+00
288		-40.005887	-40.005887	0.624667	1.696233e+00
289		-40.542413	-40.542413	0.584776	1.736943e+00
290		-40.873213	-40.873213	0.718348	1.098612e+00
291		-40.990992	-40.990992	0.888893	2.500410e+00
292		-41.632869	-41.632869	0.526304	1.623261e+00
293		-41.031471	-41.031471	1.000000	1.526871e+00
294		-41.130093	-41.130093	0.906085	1.869465e+00
294		-41.130093	-41.720858	0.553903	1.527693e+00
294		-41.130093	-42.436829	0.270702	1.468810e+00
295		-41.088771	-41.088771	1.000000	1.939558e+00
295		-41.088771	-41.282635	0.823770	1.458962e+00
296		-42.012044	-42.012044	0.397216	1.128274e+00
297		-41.722489	-41.722489	1.000000	1.168125e+00
298		-42.532875	-42.532875	0.444687	2.199763e+00
299		-42.795796	-42.795796	0.768802	1.429931e+00
299		-42.795796	-43.691544	0.408302	1.354207e+00
300		-42.663840	-42.663840	1.000000	1.104089e+00
301		-42.568996	-42.568996	1.000000	2.131377e+00
302		-42.082828	-42.082828	1.000000	1.106923e+00
303		-41.912555	-41.912555	1.000000	1.738166e+00
304		-42.735846	-42.735846	0.438984	1.118605e+00
304		-42.735846	-42.977872	0.785036	1.078517e+00
305		-43.025789	-43.025789	0.748306	1.249427e+00
306		-42.849436	-42.849436	1.000000	1.536964e+00
307		-42.779537	-42.779537	1.000000	1.129321e+00
308		-43.052194	-43.052194	0.761354	1.066810e+00
309		-42.800494	-42.800494	1.000000	1.077751e+00
309		-42.800494	-43.622621	0.439496	1.182379e+00
309		-42.800494	-43.031880	0.793433	1.178397e+00
310		-42.641467	-42.641467	1.000000	1.120697e+00
311		-43.011469	-43.011469	0.690733	1.066133e+00
312		-43.537369	-43.537369	0.591023	1.166323e+00
313		-43.821710	-43.821710	0.752511	1.061209e+00
314		-44.006726	-44.006726	0.831091	1.066934e+00
315		-44.515345	-44.515345	0.601325	1.267346e+00
315		-44.515345	-44.966684	0.636774	1.324301e+00
316		-44.044942	-44.044942	1.000000	1.128537e+00
317		-43.988968	-43.988968	1.000000	1.169844e+00
318		-44.297472	-44.297472	0.734546	1.665831e+00
318		-44.297472	-45.470870	0.309314	3.931256e+00
319		-44.680770	-44.680770	0.681609	1.367227e+00
320		-43.960315	-43.960315	1.000000	1.360390e+00
321		-45.295516	-45.295516	0.263105	1.559346e+00
322		-45.906620	-45.906620	0.542751	1.798562e+00
323		-44.470616	-44.470616	1.000000	2.396912e+00
324		-44.083540	-44.083540	1.000000	1.077988e+00
325		-43.557819	-43.557819	1.000000	1.486971e+00
326		-43.757096	-43.757096	0.819323	1.071013e+00
327		-44.055915	-44.055915	0.741694	1.091050e+00
328		-43.805760	-43.805760	1.000000	1.089989e+00
329		-43.019669	-43.019669	1.000000	1.066961e+00
330		-43.589979	-43.589979	0.565350	1.099910e+00
330		-43.589979	-44.261582	0.510889	1.227086e+00
331		-44.589241	-44.589241	0.368151	2.169467e+00
332		-43.367327	-43.367327	1.000000	1.929753e+00
333		-43.791612	-43.791612	0.654237	2.335861e+00
333		-43.791612	-45.197361	0.245183	2.462138e+00
333		-43.791612	-44.133708	0.710280	1.208909e+00
334		-43.106293	-43.106293	1.000000	1.526026e+00
335		-43.203655	-43.203655	0.907228	1.070143e+00
336		-43.166716	-43.166716	1.000000	1.228547e+00
336		-43.166716	-47.178918	0.018094	1.407899e+00
337		-42.607376	-42.607376	1.000000	1.449162e+00
338		-42.769681	-42.769681	0.850182	1.079454e+00
339		-43.092162	-43.092162	0.724350	1.265310e+00
340		-42.989483	-42.989483	1.000000	1.310236e+00
341		-43.512387	-43.512387	0.592797	1.075585e+00
342		-42.616680	-42.616680	1.000000	1.059266e+00
343		-42.428555	-42.428555	1.000000	1.069726e+00
344		-42.374266	-42.374266	1.000000	1.065187e+00
345		-41.875207	-41.875207	1.000000	1.134130e+00
345		-41.875207	-42.935664	0.346297	1.430494e+00
346		-41.981081	-41.981081	0.899538	1.157619e+00
347		-42.543881	-42.543881	0.569612	1.078575e+00
348		-43.195236	-43.195236	0.521339	1.343479e+00
348		-43.195236	-43.729766	0.585944	1.509362e+00
349		-43.192577	-43.192577	1.000000	1.068457e+00
350		-43.586795	-43.586795	0.674207	1.198849e+00
351		-43.945058	-43.945058	0.698889	2.032575e+00
352		-44.322883	-44.322883	0.685351	1.355718e+00
353		-44.086029	-44.086029	1.000000	1.128019e+00
354		-43.904892	-43.904892	1.000000	1.108697e+00
355		-43.215050	-43.215050	1.000000	1.487696e+00
356		-42.819136	-42.819136	1.000000	1.267630e+00
357		-42.763589	-42.763589	1.000000	2.128734e+00
357		-42.763589	-43.294131	0.588286	1.246960e+00
357		-42.763589	-43.303524	0.582786	1.619282e+00
358		-43.046138	-43.046138	0.753860	1.167105e+00
359		-43.819504	-43.819504	0.461457	1.762185e+00
359		-43.819504	-44.503482	0.504606	1.066840e+00
360		-44.709785	-44.709785	0.410541	1.099002e+00
361		-43.321389	-43.321389	1.000000	1.099982e+00
362		-43.436277	-43.436277	0.891466	1.065163e+00
362		-43.436277	-45.195670	0.172149	1.331034e+00
363		-43.592521	-43.592521	0.855351	1.168688e+00
364		-43.166604	-43.166604	1.000000	1.696771e+00
365		-42.869738	-42.869738	1.000000	1.431246e+00
366		-42.586594	-42.586594	1.000000	1.097780e+00
367		-41.306250	-41.306250	1.000000	1.429298e+00
368		-40.518165	-40.518165	1.000000	1.535840e+00
369		-40.520461	-40.520461	0.997706	1.131289e+00
370		-40.793786	-40.793786	0.760846	1.067311e+00
370		-40.793786	-41.602303	0.445518	1.256566e+00
370		-40.793786	-41.748768	0.384819	2.001843e+00
371		-41.311589	-41.311589	0.595828	1.267612e+00
372		-40.998039	-40.998039	1.000000	1.398454e+00
373		-40.453269	-40.453269	1.000000	1.928167e+00
374		-40.276107	-40.276107	1.000000	1.069171e+00
374		-40.276107	-42.240070	0.140301	1.128186e+00
374		-40.276107	-42.456766	0.112967	1.799265e+00
374		-40.276107	-42.490339	0.109237	1.236862e+00
375		-41.203166	-41.203166	0.395716	1.072124e+00
376		-40.740408	-40.740408	1.000000	1.127859e+00
376		-40.740408	-41.362619	0.536756	1.087568e+00
377		-41.405270	-41.405270	0.514344	1.061467e+00
378		-41.579723	-41.579723	0.839916	1.069207e+00
379		-41.337429	-41.337429	1.000000	1.626843e+00
380		-41.554904	-41.554904	0.804547	1.168820e+00
381		-42.292793	-42.292793	0.478122	1.065207e+00
382		-43.161829	-43.161829	0.419356	2.028711e+00
383		-42.387275	-42.387275	1.000000	2.227023e+00
384		-41.825743	-41.825743	1.000000	1.206195e+00
385		-41.989819	-41.989819	0.848677	1.994946e+00
385		-41.989819	-43.221332	0.291851	1.737025e+00
386		-42.149641	-42.149641	0.852295	1.189021e+00
387		-42.334329	-42.334329	0.831364	2.321367e+00
388		-41.072888	-41.072888	1.000000	1.298786e+00
389		-40.298270	-40.298270	1.000000	1.078616e+00
390		-40.076901	-40.076901	1.000000	1.288659e+00
390		-40.076901	-41.016786	0.390673	2.389650e+00
390		-40.076901	-40.624630	0.578261	1.098922e+00
390		-40.076901	-40.895964	0.440845	1.498603e+00
390		-40.076901	-41.224580	0.317372	1.498476e+00
391		-39.989167	-39.989167	1.000000	1.099939e+00
392		-39.219137	-39.219137	1.000000	1.761960e+00
393		-39.779519	-39.779519	0.570991	1.309872e+00
394		-38.947186	-38.947186	1.000000	1.085382e+00
395		-38.801146	-38.801146	1.000000	1.347449e+00
396		-38.984896	-38.984896	0.832144	1.099596e+00
397		-39.752257	-39.752257	0.464236	1.087351e+00
397		-39.752257	-40.004925	0.776726	1.597780e+00
398		-40.166575	-40.166575	0.660791	1.060614e+00
399		-40.332290	-40.332290	0.847287	1.248562e+00
399		-40.332290	-41.114433	0.457425	1.348750e+00
400		-40.110294	-40.110294	1.000000	1.124853e+00
401		-40.042755	-40.042755	1.000000	1.299186e+00
402		-39.957484	-39.957484	1.000000	1.559377e+00
403		-40.495439	-40.495439	0.583941	1.178633e+00
404		-40.040976	-40.040976	1.000000	1.088708e+00
